company,address,address2,city,state,scf,zip,zip4,mailscore,sic1code,sic1,sic2code,sic2,sic3code,sic3,sic4code,sic4
A K COMICS,2000 SUTLER AVE,,BELOIT,WI,535,53511,6918,3,59429905,COMIC BOOKS,,,,,,
NEPTUNE COMICS,2120 E MORELAND BLVD STE L,,WAUKESHA,WI,531,53186,4038,3,59429905,COMIC BOOKS,,,,,,
POWERS COMIC COLLECTIBLE,2180 S RIDGE RD STE 1,,GREEN BAY,WI,543,54304,4331,3,59429905,COMIC BOOKS,,,,,,
ROCKHEAD'S COMICS & GAMES,2328 ROOSEVELT RD,,KENOSHA,WI,531,53143,4747,3,59429905,COMIC BOOKS,56990000,MISCELLANEOUS APPAREL AND ACCESSORY STORES,59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)",59999900,
COLLECTORS EDGE COMICS,2330 S KINNICKINNIC AVE,,MILWAUKEE,WI,532,53207,1626,3,59429905,COMIC BOOKS,,,,,,
COMICS BUYER S GUIDE,235 GROVE ST,,IOLA,WI,549,54945,9645,3,59429905,COMIC BOOKS,,,,,,
CLAIREMONT COMICS,2543 E CLAIREMONT AVE,,EAU CLAIRE,WI,547,54701,6725,3,59429905,COMIC BOOKS,59479903,,,,,
KRYPTONITE KOLLECTIBLES INC,3000 MILTON AVE STE 104,,JANESVILLE,WI,535,53545,270,3,59479903,,59429905,COMIC BOOKS,,,,
NOSTALGIA WORLD LLC,3131 S 92ND ST,,WEST ALLIS,WI,532,53227,4411,3,59429905,COMIC BOOKS,,,,,,
COMICS JOHN HAUSER,327 E WISCONSIN AVE,,MILWAUKEE,WI,532,53202,4301,3,59429905,COMIC BOOKS,,,,,,
